Player Name,Year,Salary,Team,Retained/Bought/Unsold
Ravindra jadeja,2025,18 crore,Chennai Super Kings,Retained
Ruturaj Gaikwad,2025,18 crore,Chennai Super Kings,Retained
Matheesha Pathirana,2025,13 crore,Chennai Super Kings,Retained
Shivam dube,2025,12 crore,Chennai Super Kings,Retained
Noor Ahmad,2025,10 crore,Chennai Super Kings,Bought
Ravichandran ashwin,2025,9.75 crore,Chennai Super Kings,Bought
Devon Conway,2025,6.25 crore,Chennai Super Kings,Bought
Khaleel ahmed,2025,4.8 crore,Chennai Super Kings,Bought
Ms dhoni,2025,4 crore,Chennai Super Kings,Retained
Rachin Ravindra,2025,4 crore,Chennai Super Kings,Bought
Anshul Kamboj,2025,3.4 crore,Chennai Super Kings,Bought
Rahul tripathi,2025,3.4 crore,Chennai Super Kings,Bought
Sam Curran,2025,2.4 crore,Chennai Super Kings,Bought
Gurjapneet Singh,2025,2.2 crore,Chennai Super Kings,Bought
Nathan Ellis,2025,2 crore,Chennai Super Kings,Bought
Deepak hooda,2025,1.7 crore,Chennai Super Kings,Bought
Jamie Overton,2025,1.5 crore,Chennai Super Kings,Bought
Vijay shankar,2025,1.4 crore,Chennai Super Kings,Bought
Vansh Bedi,2025,0.55 crore,Chennai Super Kings,Bought
Andre Siddarth,2025,0.3 crore,Chennai Super Kings,Bought
Kamlesh Nagarkoti,2025,0.3 crore,Chennai Super Kings,Bought
Mukesh Choudhary,2025,0.3 crore,Chennai Super Kings,Bought
Ramakrishna Ghosh,2025,0.3 crore,Chennai Super Kings,Bought
Shaik Rasheed,2025,0.3 crore,Chennai Super Kings,Bought
Shreyas gopal,2025,0.3 crore,Chennai Super Kings,Bought
Ravindra jadeja,2024,16 crore,Chennai Super Kings,Retained
Daryl Mitchell,2024,14 crore,Chennai Super Kings,Bought
Deepak chahar,2024,14 crore,Chennai Super Kings,Retained
Ms dhoni,2024,12 crore,Chennai Super Kings,Retained
Moeen Ali,2024,8 crore,Chennai Super Kings,Retained
Ruturaj Gaikwad,2024,6 crore,Chennai Super Kings,Retained
Shivam dube,2024,6 crore,Chennai Super Kings,Bought
Shardul thakur,2024,4 crore,Chennai Super Kings,Bought
Mustafizur rahman,2024,2 crore,Chennai Super Kings,Bought
Mitchell santner,2024,1.9 crore,Chennai Super Kings,Retained
Rachin Ravindra,2024,1.8 crore,Chennai Super Kings,Bought
Rajvardhan Hangargekar,2024,1.5 crore,Chennai Super Kings,Retained
Devon Conway,2024,1 crore,Chennai Super Kings,Bought
Maheesh Theekshana,2024,0.7 crore,Chennai Super Kings,Retained
Ajinkya rahane,2024,0.5 crore,Chennai Super Kings,Retained
Ajay Mandal,2024,0.2 crore,Chennai Super Kings,Bought
Aravelly Avanish,2024,0.2 crore,Chennai Super Kings,Bought
Matheesha Pathirana,2024,0.2 crore,Chennai Super Kings,Retained
Mukesh Choudhary,2024,0.2 crore,Chennai Super Kings,Retained
Nishant Sindhu,2024,0.2 crore,Chennai Super Kings,Bought
Prashant Solanki,2024,0.2 crore,Chennai Super Kings,Bought
Sameer Rizvi,2024,0.2 crore,Chennai Super Kings,Bought
Shaik Rasheed,2024,0.2 crore,Chennai Super Kings,Retained
Simarjeet Singh,2024,0.2 crore,Chennai Super Kings,Bought
Tushar Deshpande,2024,0.2 crore,Chennai Super Kings,Retained
Ben stokes,2023,16.25 crore,Chennai Super Kings,Bought
Ravindra jadeja,2023,16 crore,Chennai Super Kings,Retained
Deepak chahar,2023,14 crore,Chennai Super Kings,Bought
Ms dhoni,2023,12 crore,Chennai Super Kings,Retained
Moeen Ali,2023,8 crore,Chennai Super Kings,Retained
Ambati rayudu,2023,6.75 crore,Chennai Super Kings,Retained
Ruturaj Gaikwad,2023,6 crore,Chennai Super Kings,Retained
Shivam dube,2023,4 crore,Chennai Super Kings,Retained
Mitchell santner,2023,1.9 crore,Chennai Super Kings,Retained
Rajvardhan Hangargekar,2023,1.5 crore,Chennai Super Kings,Bought
Devon Conway,2023,1 crore,Chennai Super Kings,Retained
Maheesh Theekshana,2023,0.7 crore,Chennai Super Kings,Retained
Ajinkya rahane,2023,0.5 crore,Chennai Super Kings,Bought
Sisonda Magala,2023,0.5 crore,Chennai Super Kings,Bought
Matheesha Pathirana,2023,0.2 crore,Chennai Super Kings,Bought
Pathum Kumara,2023,0.20 crore,Chennai Super Kings,Bought
Shaik Rasheed,2023,0.2 crore,Chennai Super Kings,Bought
Tushar Deshpande,2023,0.2 crore,Chennai Super Kings,Bought
Dwaine Pretorius,2023,0 crore,Chennai Super Kings,Bought
Ravindra jadeja,2022,16 crore,Chennai Super Kings,Retained
Deepak Chahar,2022,"?14,00,00,000 crore",Chennai Super Kings,Bought
Ms dhoni,2022,12 crore,Chennai Super Kings,Retained
Moeen Ali,2022,8 crore,Chennai Super Kings,Retained
Ambati rayudu,2022,6.75 crore,Chennai Super Kings,Bought
Ambati Rayudu,2022,"?6,75,00,000 crore",Chennai Super Kings,Bought
Ruturaj Gaikwad,2022,6 crore,Chennai Super Kings,Retained
Dwayne bravo,2022,4.4 crore,Chennai Super Kings,Bought
Dwayne Bravo,2022,"?4,40,00,000 crore",Chennai Super Kings,Bought
Shivam dube,2022,4 crore,Chennai Super Kings,Bought
Shivam Dube,2022,"?4,00,00,000 crore",Chennai Super Kings,Bought
Chris jordan,2022,3.6 crore,Chennai Super Kings,Bought
Chris Jordan,2022,"?3,60,00,000 crore",Chennai Super Kings,Bought
Robin uthappa,2022,2 crore,Chennai Super Kings,Retained
Robin Uthappa,2022,"?2,00,00,000 crore",Chennai Super Kings,Bought
Adam milne,2022,1.9 crore,Chennai Super Kings,Bought
Adam Milne,2022,"?1,90,00,000 crore",Chennai Super Kings,Bought
Mitchell santner,2022,1.9 crore,Chennai Super Kings,Bought
Mitchell Santner,2022,"?1,90,00,000 crore",Chennai Super Kings,Bought
Rajvardhan Hangargekar,2022,"?1,50,00,000 crore",Chennai Super Kings,Bought
Prashant Solanki,2022,"?1,20,00,000 crore",Chennai Super Kings,Bought
Devon Conway,2022,1 crore,Chennai Super Kings,Bought
Devon Conway,2022,"?1,00,00,000 crore",Chennai Super Kings,Bought
Maheesh Theekshana,2022,0.7 crore,Chennai Super Kings,Bought
Maheesh Theekshana,2022,"?70,00,000 crore",Chennai Super Kings,Bought
Dwaine Pretorius,2022,0.5 crore,Chennai Super Kings,Bought
C.Hari Nishaanth,2022,"?20,00,000 crore",Chennai Super Kings,Bought
K.Bhagath Varma,2022,"?20,00,000 crore",Chennai Super Kings,Bought
K.M. Asif,2022,"?20,00,000 crore",Chennai Super Kings,Bought
Mukesh Choudhary,2022,0.2 crore,Chennai Super Kings,Bought
N. Jagadeesan,2022,"?20,00,000 crore",Chennai Super Kings,Bought
Simarjeet Singh,2022,"?20,00,000 crore",Chennai Super Kings,Bought
Subhranshu Senapati,2022,"?20,00,000 crore",Chennai Super Kings,Bought
Tushar Deshpande,2022,0.2 crore,Chennai Super Kings,Bought
Ms dhoni,2021,15 crore,Chennai Super Kings,Retained
Deepak chahar,2021,14 crore,Chennai Super Kings,Bought
Krishnappa Gowtham,2021,"9,25,00,000 crore",Chennai Super Kings,Unsold
Moeen Ali,2021,7 crore,Chennai Super Kings,Bought
Ravindra jadeja,2021,7 crore,Chennai Super Kings,Retained
Dwayne bravo,2021,6.75 crore,Chennai Super Kings,Bought
Sam Curran,2021,5.5 crore,Chennai Super Kings,Retained
Shardul thakur,2021,2.6 crore,Chennai Super Kings,Retained
Ambati rayudu,2021,2.2 crore,Chennai Super Kings,Retained
Suresh Raina,2021,2 crore,Chennai Super Kings,Bought
Cheteshwar Pujara,2021,"50,00,000 crore",Chennai Super Kings,Unsold
C Hari Nishaanth,2021,"20,00,000 crore",Chennai Super Kings,Unsold
K.Bhagath Varma,2021,"20,00,000 crore",Chennai Super Kings,Unsold
M. Harisankar Reddy,2021,"20,00,000 crore",Chennai Super Kings,Unsold
Ruturaj Gaikwad,2021,0.2 crore,Chennai Super Kings,Retained
Faf du Plessis,2021,0 crore,Chennai Super Kings,Retained
Ms dhoni,2020,15 crore,Chennai Super Kings,Retained
Suresh Raina,2020,11 crore,Chennai Super Kings,Retained
